"","Y"
1,-1.83918100591778
2,-0.950855288280254
3,1.23079868961513
4,1.74355364831865
5,-0.807825569204084
6,-0.789562216034181
7,-0.282052437764945
8,-0.607398367660614
9,-0.924520391882456
10,1.29443970931292
11,0.212816021873331
12,0.502271016375362
13,1.46531883543449
14,-0.551300597895303
15,0.233602556094084
16,-1.33663081959113
17,-1.29911718185735
18,0.915891327309643
19,-1.27351964463263
20,1.22325962540714
21,1.4255163269027
22,-0.38224520551481
23,0.999398834076319
24,-0.27729149890943
25,-0.449591045700721
26,1.05409724019322
27,0.0579826690440271
28,0.952534584604384
29,0.409927396726023
30,0.157079008560773
31,0.00951272626375848
32,-0.0714365575785994
33,0.59648475519153
34,-0.0141874935793341
35,0.283243570491748
36,-0.0850308454067921
37,-0.118293215443917
38,-0.341762512810316
39,0.627400913279728
40,-0.412101041515012
41,-0.423353343992426
42,0.109288134527592
43,-1.42649125454874
44,0.412729768603082
45,-1.64894668420726
46,-0.234696027199577
47,1.25540801262312
48,-0.617001742787922
49,1.31844866069807
50,-0.298157341541251
51,1.1878848783226
52,-0.458238949243345
53,0.874954587041255
54,-0.195224052340275
55,-0.565066792417978
56,-1.4871706800793
57,-0.238711175885423
58,0.228417872561121
59,1.20529364175888
60,-0.881655615479629
61,-0.354917181562096
62,0.358489426323096
63,0.668796574593036
64,-0.265306704617341
65,0.336540733049434
66,0.440424473441693
67,0.542745023610768
68,-0.45436633591596
69,0.190974506175847
70,0.446679243347591
71,-0.0285018467738021
72,-1.16374498982418
73,0.905400351563809
74,-0.119288144209351
75,0.48902398435707
76,0.25099091777819
77,0.231524031441001
78,-0.417543799802899
79,0.316899767500506
80,-0.413157293674887
81,-1.01219446668228
82,1.07253592472373
83,0.283931910027976
84,-1.15846899192824
85,-0.413399589516746
86,0.397374257272857
87,1.29949066952884
88,-0.479523486818064
89,-0.300049952517772
90,0.0190571966933298
91,1.03201315419606
92,0.108244811612825
93,0.309713547085205
94,-0.0328896666377275
95,-0.070434729170265
96,0.290410592702693
97,-0.239442635631474
98,-1.08686222647599
99,0.940267619395823
100,-0.112917887940367
